渠道代号	日均UV	平均注册率	平均搜索量	访问深度	平均停留时间	订单转化率	投放总时间	素材类型	广告类型	合作方式	广告尺寸	广告卖点
A309	406.28 	0.0001 	0.0002 	2.3409 	146.62 	0.0001 	22.00 	swf	不确定	roi	600*90	打折
A310	651.86 	0.0001 	0.0004 	1.6060 	217.77 	0.0001 	25.00 	swf	不确定	roi	600*90	打折
A311	102.38 	0.0000 	0.0002 	1.4001 	109.16 	0.0000 	4.00 	swf	不确定	roi	600*90	打折
A312	104.74 	0.0000 	0.0003 	1.4206 	111.76 	0.0000 	22.00 	swf	不确定	roi	600*90	打折
A313	97.54 	0.0001 	0.0005 	1.9125 	821.86 	0.0002 	21.00 	swf	不确定	roi	600*90	打折
A314	199.34 	0.0000 	0.0001 	1.2386 	70.40 	0.0000 	21.00 	swf	不确定	roi	600*90	打折
A315	144.78 	0.0000 	0.0000 	2.1600 	167.53 	0.0000 	18.00 	swf	不确定	roi	600*90	打折
A316	39.87 	0.0000 	0.0003 	1.6008 	183.48 	0.0004 	13.00 	swf	不确定	roi	600*90	打折
A317	188.98 	0.0000 	0.0001 	1.4025 	152.93 	0.0000 	24.00 	swf	不确定	roi	600*90	打折
A318	629.39 	0.0000 	0.0000 	1.2791 	123.42 	0.0000 	22.00 	swf	不确定	roi	600*90	打折
A319	344.39 	0.0000 	0.0000 	1.2985 	91.31 	0.0000 	15.00 	swf	不确定	roi	600*90	打折
A320	68.10 	0.0000 	0.0003 	1.2895 	157.56 	0.0000 	9.00 	swf	不确定	roi	600*90	打折
A321	204.19 	0.0003 	0.0005 	1.4165 	110.77 	0.0001 	26.00 	swf	不确定	roi	600*90	打折
A322	225.32 	0.0093 	0.0560 	2.5971 	341.32 	0.0067 	17.00 	swf	不确定	roi	600*90	打折
A323	20.80 	0.0077 	0.0218 	2.6558 	274.39 	0.0061 	12.00 	swf	不确定	roi	600*90	打折
A324	2.67 	0.0000 	0.0241 	3.1375 	244.69 	0.0009 	20.00 	swf	不确定	roi	600*90	打折
A325	0.89 	0.0000 	0.6087 	1.6630 	123.17 	0.0027 	4.00 	swf	不确定	roi	600*90	打折
A326	1468.39 	0.0000 	0.0029 	1.6421 	56.86 	0.0001 	20.00 	swf	不确定	roi	600*90	打折
A327	1.01 	0.0000 	0.0000 	1.0291 	501.00 	0.0000 	5.00 	swf	不确定	roi	600*90	打折
A328	901.18 	0.0000 	0.0028 	1.6532 	56.70 	0.0001 	10.00 	swf	不确定	roi	600*90	打折
A329	465.33 	0.0000 	0.0030 	1.4862 	91.00 	0.0001 	24.00 	swf	不确定	roi	600*90	打折
A330	602.09 	0.0000 	0.0027 	1.4340 	46.42 	0.0000 	24.00 	swf	不确定	roi	600*90	打折
A331	600.82 	0.0000 	0.0025 	1.6191 	75.30 	0.0001 	18.00 	swf	不确定	roi	600*90	打折
A332	399.67 	0.0001 	0.0013 	1.5960 	71.23 	0.0003 	16.00 	swf	不确定	roi	600*90	打折
A333	982.25 	0.0001 	0.0015 	1.5626 	60.05 	0.0002 	9.00 	swf	不确定	roi	600*90	打折
A334	1532.41 	0.0002 	0.0003 	1.6146 	73.78 	0.0002 	28.00 	swf	不确定	roi	600*90	打折
A335	803.43 	0.0001 	0.0043 	1.5386 	61.64 	0.0003 	23.00 	swf	不确定	roi	600*90	打折
A336	342.46 	0.0001 	0.0026 	1.5926 	61.44 	0.0002 	3.00 	swf	不确定	roi	600*90	打折
A337	10.89 	0.0051 	0.0536 	1.9234 	242.15 	0.0052 	25.00 	swf	不确定	roi	600*90	打折
A338	1201.08 	0.0005 	0.0065 	1.5939 	150.12 	0.0007 	19.00 	swf	不确定	roi	600*90	满减
A339	1370.23 	0.0000 	0.0029 	1.5876 	64.37 	0.0001 	5.00 	swf	不确定	roi	600*90	满减
A340	1.76 	0.0000 	0.0000 	1.0056 	155.50 	0.0000 	8.00 	swf	不确定	roi	600*90	满减
A341	1359.99 	0.0001 	0.0024 	1.5742 	75.32 	0.0001 	13.00 	swf	不确定	roi	600*90	满减
A342	1546.10 	0.0000 	0.0020 	1.4602 	131.42 	0.0001 	30.00 	swf	不确定	roi	600*90	满减
A343	1133.96 	0.0000 	0.0016 	1.5077 	59.06 	0.0001 	16.00 	swf	不确定	roi	600*90	满减
A344	667.23 	0.0000 	0.0016 	1.5677 	72.96 	0.0001 	20.00 	swf	不确定	roi	600*90	满减
A345	592.01 	0.0002 	0.0043 	1.5847 	68.78 	0.0004 	9.00 	swf	不确定	roi	600*90	满减
A346	1368.76 	0.0000 	0.0030 	1.5879 	65.17 	0.0002 	24.00 	swf	不确定	roi	600*90	满减
A347	1.53 	0.0000 	0.0000 	1.0000 		0.0000 	26.00 	swf	不确定	roi	600*90	满减
A348	1469.64 	0.0001 	0.0026 	1.4454 	101.62 	0.0001 	12.00 	swf	不确定	roi	600*90	满减
A349	1409.28 	0.0005 	0.0039 	1.6130 	87.30 	0.0004 	13.00 	swf	不确定	roi	600*90	满减
A350	1136.97 	0.0000 	0.0016 	1.5033 	67.41 	0.0001 	11.00 	swf	不确定	roi	600*90	满减
A351	337.60 	0.0001 	0.0014 	1.5732 	78.72 	0.0002 	19.00 	swf	不确定	roi	600*90	满减
A352	260.79 	0.0001 	0.0010 	1.5386 	96.98 	0.0001 	21.00 	swf	不确定	roi	600*90	满减
A353	619.46 	0.0003 	0.0008 	1.5275 	67.36 	0.0001 	17.00 	swf	不确定	roi	600*90	满减
A354	396.46 	0.0001 	0.0006 	1.5556 	72.73 	0.0001 	26.00 	swf	不确定	roi	600*90	满减
A355	2942.91 	0.0002 	0.0052 	1.3733 	216.56 	0.0004 	19.00 	swf	不确定	roi	600*90	满减
A356	0.78 	0.0000 	0.0127 	1.0253 	166.00 	0.0000 	12.00 	swf	不确定	roi	600*90	满减
A357	675.88 	0.0000 	0.0024 	1.6520 	55.56 	0.0001 	25.00 	swf	不确定	roi	600*90	满减
A358	346.10 	0.0000 	0.0026 	1.4907 	90.49 	0.0001 	22.00 	swf	不确定	roi	600*90	满减
A359	450.74 	0.0000 	0.0027 	1.4395 	46.92 	0.0000 	22.00 	swf	不确定	roi	600*90	满减
A360	446.52 	0.0000 	0.0026 	1.6240 	71.31 	0.0001 	10.00 	swf	不确定	roi	600*90	满减
A361	836.44 	0.0000 	0.0018 	1.4841 	136.51 	0.0001 	24.00 	swf	不确定	roi	600*90	满减
A362	119.54 	0.0000 	0.0010 	1.5585 	71.16 	0.0001 	26.00 	swf	不确定	roi	600*90	满减
A363	578.19 	0.0000 	0.0012 	1.4386 	114.72 	0.0001 	27.00 	swf	不确定	roi	600*90	满减
A364	878.20 	0.0001 	0.0011 	1.5427 	60.89 	0.0001 	22.00 	swf	不确定	roi	600*90	满减
A365	1480.21 	0.0001 	0.0010 	1.5308 	64.93 	0.0002 	11.00 	swf	不确定	roi	600*90	满减
A366	1684.74 	0.0001 	0.0004 	1.5536 	74.94 	0.0001 	19.00 	swf	不确定	roi	600*90	满减
A367	89.43 	0.0001 	0.0010 	1.3091 	55.16 	0.0001 	14.00 	swf	不确定	roi	600*90	满减
A368	393.62 	0.0000 	0.0012 	1.4425 	142.97 	0.0000 	29.00 	swf	不确定	roi	600*90	满减
A369	1057.87 	0.0002 	0.0003 	1.6017 	71.27 	0.0002 	13.00 	swf	不确定	roi	600*90	满减
A370	881.77 	0.0000 	0.0012 	1.5971 	59.54 	0.0001 	20.00 	swf	不确定	roi	600*90	满减
A371	996.42 	0.0001 	0.0010 	1.6045 	60.41 	0.0001 	11.00 	swf	不确定	roi	600*90	满减
A372	153.21 	0.0000 	0.0008 	1.6127 	51.95 	0.0001 	20.00 	swf	不确定	roi	600*90	满减
A373	258.32 	0.0001 	0.0007 	1.5740 	57.90 	0.0001 	20.00 	swf	不确定	roi	600*90	满减
A374	1012.55 	0.0000 	0.0028 	1.4911 	47.19 	0.0002 	10.00 	swf	不确定	roi	600*90	满减
A375	489.81 	0.0000 	0.0041 	1.6446 	56.97 	0.0002 	8.00 	swf	不确定	roi	600*90	满减
A376	742.15 	0.0000 	0.0025 	1.6568 	59.39 	0.0001 	11.00 	swf	不确定	roi	600*90	满减
A377	0.75 	0.0000 	0.0000 	1.0000 		0.0000 	20.00 	swf	不确定	roi	600*90	满减
A378	224.31 	0.0000 	0.0025 	1.5366 	85.94 	0.0001 	22.00 	swf	不确定	roi	600*90	满减
A379	324.36 	0.0022 	0.0214 	2.0138 	164.84 	0.0023 	9.00 	swf	不确定	roi	600*90	满减
A380	384.98 	0.0006 	0.0051 	1.6848 	81.95 	0.0005 	11.00 	swf	不确定	roi	600*90	满减
A381	267.21 	0.0000 	0.0018 	1.4446 	157.97 	0.0002 	15.00 	swf	不确定	roi	600*90	满减
A382	295.91 	0.0000 	0.0014 	1.4185 	123.42 	0.0001 	23.00 	swf	不确定	roi	600*90	满减
A570	1291.11 	0.0028 	0.0096 	2.5150 	415.74 	0.0031 	16.00 	jpg	不确定	cpc	600*90	满减
A571	1738.51 	0.0039 	0.0032 	1.6265 	371.22 	0.0014 	19.00 	jpg	不确定	cpc	600*90	满减
A572	220.92 	0.0028 	0.0072 	1.8516 	362.49 	0.0020 	21.00 	jpg	不确定	cpc	600*90	满赠
A512	1.97 	0.0000 	0.0000 	1.3858 	2.26 	0.0000 	30.00 	jpg	不确定	cpc	600*90	满赠
A513	1.97 	0.0000 	0.0000 	1.3756 	1.93 	0.0000 	26.00 	jpg	不确定	cpc	600*90	满赠
A514	1.95 	0.0000 	0.0000 	1.3846 	2.41 	0.0000 	5.00 	jpg	不确定	cpc	600*90	满赠
A515	1.98 	0.0000 	0.0000 	1.3838 	2.38 	0.0000 	6.00 	jpg	不确定	cpc	600*90	满赠
A516	1.97 	0.0000 	0.0000 	1.3807 	2.44 	0.0000 	21.00 	jpg	不确定	cpc	600*90	满赠
A517	1.97 	0.0000 	0.0000 	1.3807 	2.35 	0.0000 	7.00 	jpg	不确定	cpc	600*90	满赠
A518	1.97 	0.0000 	0.0000 	1.3807 	2.69 	0.0000 	17.00 	jpg	不确定	cpc	600*90	满赠
A519	1.96 	0.0000 	0.0000 	1.3827 	2.47 	0.0000 	3.00 	jpg	不确定	cpc	600*90	满赠
A520	1.96 	0.0000 	0.0000 	1.3878 	2.85 	0.0000 	6.00 	jpg	不确定	cpc	600*90	满赠
A521	1.98 	0.0000 	0.0000 	1.3838 	2.46 	0.0000 	5.00 	jpg	不确定	cpc	600*90	满赠
A522	1.98 	0.0000 	0.0000 	1.3687 	2.43 	0.0000 	30.00 	jpg	不确定	cpc	600*90	满赠
A523	1.96 	0.0000 	0.0000 	1.3827 	2.52 	0.0000 	8.00 	jpg	不确定	cpc	600*90	满赠
A524	1.98 	0.0000 	0.0000 	1.3838 	2.38 	0.0000 	25.00 	jpg	不确定	cpc	600*90	满赠
A525	1.98 	0.0000 	0.0000 	1.3737 	2.32 	0.0000 	4.00 	jpg	不确定	cpc	600*90	满赠
A526	1.98 	0.0000 	0.0000 	1.3788 	1.93 	0.0000 	26.00 	jpg	不确定	cpc	600*90	满赠
A527	1.98 	0.0000 	0.0000 	1.3737 	2.08 	0.0000 	22.00 	jpg	不确定	cpc	600*90	满赠
A528	1.97 	0.0000 	0.0000 	1.3807 	2.57 	0.0000 	4.00 	jpg	不确定	cpc	600*90	满赠
A529	1.98 	0.0000 	0.0000 	1.3687 	2.39 	0.0000 	18.00 	jpg	不确定	cpc	600*90	满赠
A530	1.95 	0.0000 	0.0000 	1.3846 	2.70 	0.0000 	9.00 	jpg	不确定	cpc	600*90	满赠
A531	1.99 	0.0000 	0.0000 	1.3819 	2.38 	0.0000 	29.00 	jpg	不确定	cpc	600*90	满赠
A532	1.99 	0.0000 	0.0000 	1.3769 	2.54 	0.0000 	9.00 	jpg	不确定	cpc	600*90	满赠
A533	1.95 	0.0000 	0.0000 	1.3846 	2.28 	0.0000 	9.00 	jpg	不确定	cpc	600*90	满赠
A534	1.99 	0.0000 	0.0000 	1.3819 	2.45 	0.0000 	1.00 	jpg	不确定	cpc	600*90	满赠
A535	1.99 	0.0000 	0.0000 	1.3819 	1.95 	0.0000 	15.00 	jpg	不确定	cpc	600*90	满赠
A536	1.98 	0.0000 	0.0000 	1.3889 	2.32 	0.0000 	5.00 	jpg	不确定	cpc	600*90	满赠
A537	1.97 	0.0000 	0.0000 	1.3807 	2.57 	0.0000 	21.00 	jpg	不确定	cpc	600*90	满赠
A538	1.99 	0.0000 	0.0000 	1.3769 	2.15 	0.0000 	3.00 	jpg	不确定	cpc	600*90	满赠
A539	1.97 	0.0000 	0.0000 	1.3858 	2.73 	0.0000 	3.00 	jpg	不确定	cpc	600*90	满赠
A540	1.98 	0.0000 	0.0000 	1.3788 	1.99 	0.0000 	28.00 	jpg	不确定	cpc	600*90	满赠
A541	1.98 	0.0000 	0.0000 	1.3788 	1.87 	0.0000 	30.00 	jpg	不确定	cpc	600*90	满赠
A542	1.97 	0.0000 	0.0000 	1.3706 	1.95 	0.0000 	12.00 	jpg	不确定	cpc	600*90	满赠
A543	1.98 	0.0000 	0.0000 	1.3889 	1.99 	0.0000 	26.00 	jpg	不确定	cpc	600*90	满赠
A544	1.99 	0.0000 	0.0000 	1.3869 	1.77 	0.0000 	3.00 	jpg	不确定	cpc	600*90	满赠
A545	1.97 	0.0000 	0.0000 	1.3858 	2.16 	0.0000 	22.00 	jpg	不确定	cpc	600*90	满赠
A546	1.96 	0.0000 	0.0000 	1.3776 	2.23 	0.0000 	10.00 	jpg	不确定	cpc	600*90	满赠
A547	1.98 	0.0000 	0.0000 	1.3838 	2.26 	0.0000 	15.00 	jpg	不确定	cpc	600*90	满赠
A548	1.97 	0.0000 	0.0000 	1.3807 	1.78 	0.0000 	9.00 	jpg	不确定	cpc	600*90	满赠
A549	1.93 	0.0000 	0.0000 	1.3834 	1.64 	0.0000 	21.00 	jpg	不确定	cpc	600*90	满赠
A550	1.92 	0.0050 	0.0250 	2.7000 	321.48 	0.0012 	15.00 	swf	不确定	cpc	600*90	满赠
A551	0.18 	0.0000 	0.0000 	6.4211 	388.22 	0.0265 	16.00 	swf	不确定	cpc	600*90	满赠
A552	0.49 	0.0125 	0.0000 	6.9125 	284.79 	0.1409 	11.00 	swf	不确定	cpc	600*90	满赠
A573	53.48 	0.0009 	0.0120 	1.5774 	303.90 	0.0022 	5.00 	jpg	不确定	cpc	600*90	满赠
A574	6.52 	0.0066 	0.0160 	3.8404 	472.56 	0.0055 	1.00 	jpg	不确定	cpc	600*90	满赠
A575	114.47 	0.0062 	0.0159 	2.8570 	377.61 	0.0038 	22.00 	jpg	不确定	cpc	600*90	满赠
A576	28.69 	0.0003 	0.0095 	2.2779 	368.38 	0.0023 	10.00 	jpg	不确定	cpc	600*90	满赠
A577	116.84 	0.0022 	0.0081 	2.7337 	308.91 	0.0037 	18.00 	jpg	不确定	cpc	600*90	满赠
A578	10.16 	0.0031 	0.0176 	6.2040 	470.76 	0.0166 	30.00 	jpg	不确定	cpc	600*90	满返
A579	5.92 	0.0000 	0.0364 	2.9367 	398.58 	0.0036 	25.00 	jpg	不确定	cpc	600*90	满返
A580	165.79 	0.0027 	0.0042 	2.2885 	354.68 	0.0029 	25.00 	jpg	不确定	cpc	600*90	满返
A581	164.69 	0.0022 	0.0218 	2.3847 	364.85 	0.0040 	3.00 	jpg	不确定	cpc	600*90	满返
A582	225.59 	0.0017 	0.0139 	2.3273 	347.66 	0.0027 	4.00 	jpg	不确定	cpc	600*90	满返
A583	18.63 	0.0020 	0.0138 	1.8717 	388.38 	0.0019 	21.00 	jpg	不确定	cpc	600*90	满返
A584	17.28 	0.0039 	0.0112 	2.2847 	379.80 	0.0019 	22.00 	jpg	不确定	cpc	600*90	满返
A585	44.07 	0.0053 	0.0141 	2.0799 	402.74 	0.0018 	1.00 	jpg	不确定	cpc	600*90	满返
A586	28.77 	0.0010 	0.0040 	2.2984 	311.59 	0.0035 	1.00 	jpg	不确定	cpc	600*90	满返
A587	27.17 	0.0054 	0.0306 	2.6977 	407.39 	0.0052 	9.00 	jpg	不确定	cpc	600*90	满返
A588	152.97 	0.0035 	0.0208 	3.6382 	391.23 	0.0058 	22.00 	jpg	不确定	cpc	600*90	满返
A589	130.41 	0.0084 	0.0215 	3.9953 	399.94 	0.0089 	1.00 	jpg	不确定	cpc	600*90	满返
A590	212.86 	0.0047 	0.0034 	2.6839 	222.59 	0.0031 	26.00 	jpg	不确定	cpc	600*90	满返
A591	3.38 	0.0029 	0.0000 	3.6532 	254.91 	0.0056 	9.00 	jpg	不确定	cpc	600*90	满返
A592	49.17 	0.0045 	0.0039 	3.0582 	370.45 	0.0043 	22.00 	jpg	不确定	cpc	600*90	满返
A593	88.94 	0.0099 	0.0182 	3.4988 	352.99 	0.0032 	1.00 	jpg	不确定	cpc	600*90	满返
A594	568.39 	0.0027 	0.0179 	3.4610 	389.42 	0.0044 	13.00 	jpg	不确定	cpc	600*90	满返
A595	152.90 	0.0017 	0.0137 	2.4850 	370.96 	0.0032 	7.00 	jpg	不确定	cpc	600*90	满返
A596	77.32 	0.0011 	0.0143 	2.3613 	294.53 	0.0013 	30.00 	jpg	不确定	cpc	600*90	满返
A597	80.18 	0.0019 	0.0124 	2.2023 	372.06 	0.0024 	19.00 	jpg	不确定	cpc	600*90	满返
A598	66.93 	0.0014 	0.0151 	2.2574 	355.74 	0.0021 	19.00 	jpg	不确定	cpc	600*90	满返
A599	13.23 	0.0035 	0.0215 	3.6223 	387.24 	0.0092 	4.00 	jpg	不确定	cpc	600*90	满返
A600	59.75 	0.0016 	0.0184 	1.8876 	312.80 	0.0014 	9.00 	jpg	不确定	cpc	600*90	满返
A601	1496.41 	0.0015 	0.0064 	1.6607 	381.72 	0.0029 	12.00 	jpg	不确定	cpc	600*90	满返
A602	56.51 	0.0007 	0.0191 	1.0501 	317.50 	0.0000 	23.00 	jpg	不确定	cpc	600*90	满返
A603	141.42 	0.0000 	0.0077 	1.0307 	443.16 	0.0000 	24.00 	jpg	不确定	cpc	600*90	满返
A604	85.36 	0.0010 	0.0128 	1.7968 	358.04 	0.0023 	17.00 	jpg	不确定	cpc	600*90	满返
A605	238.17 	0.0011 	0.0094 	1.5522 	373.64 	0.0017 	10.00 	jpg	不确定	cpc	600*90	满返
A606	128.47 	0.0037 	0.0202 	2.8795 	451.55 	0.0071 	4.00 	jpg	不确定	cpc	600*90	满返
A607	160.70 	0.0014 	0.0088 	1.6137 	409.33 	0.0013 	11.00 	jpg	不确定	cpc	600*90	满返
A608	99.94 	0.0009 	0.0067 	1.3371 	330.23 	0.0013 	12.00 	jpg	不确定	cpc	600*90	满返
A609	273.33 	0.0007 	0.0074 	1.4469 	416.74 	0.0013 	28.00 	jpg	不确定	cpc	600*90	满返
A610	200.65 	0.0009 	0.0078 	1.4506 	333.16 	0.0020 	20.00 	jpg	不确定	cpc	600*90	满返
A611	61.51 	0.0021 	0.0097 	2.4680 	396.40 	0.0036 	15.00 	jpg	不确定	cpc	600*90	满返
A612	775.72 	0.0009 	0.0078 	1.2177 	361.88 	0.0004 	14.00 	jpg	不确定	cpc	600*90	满返
A613	156.17 	0.0020 	0.0098 	1.4167 	356.71 	0.0011 	11.00 	jpg	不确定	cpc	600*90	满返
A614	275.84 	0.0002 	0.0083 	1.1308 	249.53 	0.0001 	12.00 	jpg	不确定	cpc	600*90	满返
A615	170.00 	0.0009 	0.0094 	1.5440 	322.64 	0.0016 	16.00 	jpg	不确定	cpc	600*90	满返
A616	22.90 	0.0056 	0.0253 	5.0489 	527.38 	0.0115 	29.00 	jpg	不确定	cpc	600*90	满返
A617	780.58 	0.0011 	0.0089 	1.3948 	420.27 	0.0013 	23.00 	jpg	不确定	cpc	600*90	满返
A618	85.32 	0.0018 	0.0089 	1.6148 	437.79 	0.0016 	21.00 	jpg	不确定	cpc	600*90	满返
A619	131.23 	0.0001 	0.0088 	1.1930 	296.82 	0.0005 	8.00 	jpg	不确定	cpc	600*90	满返
A620	179.34 	0.0056 	0.0176 	2.8243 	379.59 	0.0054 	14.00 	jpg	不确定	cpc	600*90	满返
A621	226.77 	0.0024 	0.0086 	2.1403 	348.25 	0.0025 	14.00 	jpg	不确定	cpc	600*90	满返
A622	215.31 	0.0033 	0.0127 	2.4599 	323.47 	0.0038 	20.00 	jpg	不确定	cpc	600*90	满返
A623	319.57 	0.0024 	0.0097 	1.9923 	395.45 	0.0023 	30.00 	jpg	不确定	cpc	600*90	满返
A624	285.42 	0.0033 	0.0118 	2.3893 	331.16 	0.0038 	23.00 	jpg	不确定	cpc	600*90	满返
A625	19.43 	0.0055 	0.0191 	4.2362 	411.64 	0.0091 	1.00 	jpg	不确定	cpc	600*90	满返
A626	710.28 	0.0009 	0.0091 	1.3803 	399.01 	0.0013 	29.00 	jpg	不确定	cpc	600*90	满返
A627	106.02 	0.0011 	0.0131 	1.6237 	390.91 	0.0018 	6.00 	jpg	不确定	cpc	600*90	满返
A628	266.10 	0.0007 	0.0087 	1.4539 	355.16 	0.0012 	7.00 	jpg	不确定	cpc	600*90	满返
A629	140.06 	0.0027 	0.0192 	2.0499 	222.81 	0.0033 	26.00 	jpg	不确定	cpc	600*90	满返
A630	204.56 	0.0007 	0.0083 	1.5727 	212.32 	0.0009 	25.00 	jpg	不确定	cpc	600*90	满返
A631	147.75 	0.0015 	0.0096 	1.7112 	220.04 	0.0017 	22.00 	jpg	不确定	cpc	600*90	满返
A632	251.62 	0.0006 	0.0084 	1.2753 	359.75 	0.0005 	13.00 	jpg	不确定	cpc	600*90	满返
A633	182.16 	0.0010 	0.0115 	1.6587 	375.51 	0.0017 	24.00 	jpg	不确定	cpc	600*90	满返
A634	154.20 	0.0056 	0.0117 	3.1399 	336.53 	0.0049 	13.00 	jpg	不确定	cpc	600*90	满返
A635	2040.55 	0.0021 	0.0055 	1.7619 	433.43 	0.0009 	12.00 	jpg	不确定	cpc	600*90	满返
A636	208.57 	0.0032 	0.0118 	2.2968 	315.13 	0.0028 	18.00 	jpg	不确定	cpc	600*90	满返
A637	247.66 	0.0006 	0.0093 	1.2236 	369.21 	0.0007 	26.00 	jpg	不确定	cpc	600*90	满返
A638	209.58 	0.0000 	0.0071 	1.1523 	236.55 	0.0005 	26.00 	jpg	不确定	cpc	600*90	满返
A639	35.58 	0.0087 	0.0120 	3.5187 	409.15 	0.0059 	1.00 	jpg	不确定	cpc	600*90	满返
A640	867.45 	0.0028 	0.0309 	2.0066 	400.83 	0.0030 	24.00 	jpg	不确定	cpc	600*90	满返
A641	76.62 	0.0034 	0.0088 	1.6812 	360.56 	0.0013 	26.00 	jpg	不确定	cpc	600*90	满返
A642	118.74 	0.0001 	0.0094 	1.0433 	382.39 	0.0001 	3.00 	jpg	不确定	cpc	600*90	满返
A643	748.47 	0.0007 	0.0083 	1.3365 	414.10 	0.0013 	24.00 	jpg	不确定	cpc	600*90	满返
A644	65.04 	0.0008 	0.0090 	1.1876 	345.05 	0.0003 	16.00 	jpg	不确定	cpc	600*90	满返
A645	220.98 	0.0002 	0.0093 	1.0336 	371.87 	0.0001 	13.00 	jpg	不确定	cpc	600*90	满返
A646	6.49 	0.0015 	0.0209 	1.3851 	466.05 	0.0033 	6.00 	jpg	不确定	cpc	600*90	满返
A647	26.45 	0.0007 	0.0078 	1.5756 	450.02 	0.0016 	9.00 	jpg	不确定	cpc	600*90	满返
A648	20.67 	0.0000 	0.0081 	1.1170 	214.72 	0.0001 	19.00 	jpg	不确定	cpc	600*90	直降
A649	22.35 	0.0009 	0.0062 	1.3376 	443.73 	0.0009 	1.00 	jpg	不确定	cpc	600*90	直降
A650	147.69 	0.0037 	0.0178 	2.9416 	420.73 	0.0080 	29.00 	jpg	不确定	cpc	600*90	直降
A651	140.12 	0.0001 	0.0058 	1.1674 	435.32 	0.0004 	7.00 	jpg	不确定	cpc	600*90	直降
A652	98.58 	0.0008 	0.0087 	1.3387 	312.01 	0.0010 	25.00 	jpg	不确定	cpc	600*90	直降
A653	267.22 	0.0011 	0.0088 	1.4888 	426.43 	0.0017 	22.00 	jpg	不确定	cpc	600*90	直降
A654	164.34 	0.0016 	0.0081 	1.5115 	361.71 	0.0016 	19.00 	jpg	不确定	cpc	600*90	直降
A655	25.92 	0.0095 	0.0108 	4.0993 	447.26 	0.0112 	16.00 	jpg	不确定	cpc	600*90	直降
A656	718.35 	0.0009 	0.0082 	1.3278 	402.18 	0.0010 	3.00 	jpg	不确定	cpc	600*90	直降
A657	86.20 	0.0043 	0.0096 	1.5403 	368.75 	0.0011 	23.00 	jpg	不确定	cpc	600*90	直降
A658	312.59 	0.0017 	0.0101 	1.6938 	352.59 	0.0021 	27.00 	jpg	不确定	cpc	600*90	直降
A659	13.19 	0.0007 	0.0095 	1.4861 	304.86 	0.0018 	14.00 	jpg	不确定	cpc	600*90	直降
A660	45.88 	0.0000 	0.0047 	1.4564 	225.91 	0.0007 	3.00 	jpg	不确定	cpc	600*90	直降
A661	14.84 	0.0000 	0.0060 	1.0552 	433.77 	0.0002 	5.00 	jpg	不确定	cpc	600*90	直降
A662	20.52 	0.0010 	0.0067 	1.2304 	200.02 	0.0002 	17.00 	jpg	不确定	cpc	600*90	直降
A663	5.90 	0.0000 	0.0244 	1.1433 	264.29 	0.0000 	16.00 	jpg	不确定	cpc	600*90	直降
A664	22.24 	0.0000 	0.0069 	1.3009 	405.47 	0.0006 	23.00 	jpg	不确定	cpc	600*90	直降
A665	20.65 	0.0000 	0.0056 	1.1451 	236.87 	0.0000 	18.00 	jpg	不确定	cpc	600*90	直降
A666	23.37 	0.0000 	0.0057 	1.2077 	263.55 	0.0001 	2.00 	jpg	不确定	cpc	600*90	直降
A667	114.18 	0.0000 	0.0071 	1.0223 	226.18 	0.0000 	15.00 	jpg	不确定	cpc	600*90	直降
A668	638.17 	0.0000 	0.0077 	1.0360 	326.50 	0.0001 	22.00 	jpg	不确定	cpc	600*90	直降
A669	64.07 	0.0002 	0.0056 	1.0304 	268.66 	0.0000 	10.00 	jpg	不确定	cpc	600*90	直降
A670	216.22 	0.0001 	0.0085 	1.0311 	379.29 	0.0001 	26.00 	jpg	不确定	cpc	600*90	直降
A716	768.57 	0.0022 	0.0481 	3.5344 	173.44 	0.0055 	11.00 	jpg	不确定	cpc	600*90	直降
A718	3493.69 	0.0004 	0.0059 	2.5226 	131.92 	0.0009 	12.00 	jpg	不确定	cpc	600*90	直降
A685	1218.94 	0.0018 	0.0048 	1.6414 	381.58 	0.0004 	17.00 	swf	不确定	roi	600*90	直降
A689	26.75 	0.0000 	0.0782 	1.8645 	513.57 	0.0002 	11.00 	swf	不确定	roi	600*90	直降
A690	69.35 	0.0001 	0.0761 	1.8563 	725.85 	0.0013 	29.00 	swf	不确定	roi	600*90	直降
A691	8.29 	0.0011 	0.0997 	1.9398 	532.84 	0.0014 	17.00 	swf	不确定	roi	600*90	直降
A692	72.51 	0.0006 	0.1078 	1.7832 	690.57 	0.0005 	11.00 	swf	不确定	roi	600*90	直降
A693	20.33 	0.0031 	0.1009 	1.8688 	768.77 	0.0026 	23.00 	swf	不确定	roi	600*90	直降
A694	1136.77 	0.0045 	0.1007 	2.7114 	552.17 	0.0050 	6.00 	swf	不确定	cpd	600*90	直降
A695	0.66 	0.0000 	0.7802 	2.4835 	243.51 	0.0000 	30.00 	swf	不确定	roi	600*90	直降
A696	0.96 	0.0000 	0.9394 	2.5909 	311.92 	0.0000 	11.00 	swf	不确定	roi	600*90	直降
A697	29.90 	0.0000 	0.0812 	1.6649 	673.90 	0.0001 	30.00 	swf	不确定	roi	600*90	直降
A698	88.41 	0.0003 	0.0758 	1.7988 	616.85 	0.0009 	25.00 	swf	不确定	roi	600*90	直降
A699	30.03 	0.0009 	0.0872 	1.6901 	572.08 	0.0001 	27.00 	swf	不确定	roi	600*90	直降
